Model,Mean MSE,Mean MAE,Mean RMSE,Mean MAPE
LSTM,11.089880476932848,2.7192514395878247,3.0856119325685,0.7726805127989403
Arima,55.54940855148608,5.538962510170856,6.509673493357539,2.0336391039724466
